SUBJECT,TRIAL_ID,FACE,FIX_INDEX,CONDITION,IMG_X,IMG_Y,FIX_X,FIX_Y,FIX_DUR
SYNTHETIC_A,1,001_03,1,synthetic_demo,800,450,754,441,120
SYNTHETIC_A,1,001_03,2,synthetic_demo,800,450,858,443,180
SYNTHETIC_A,1,001_03,3,synthetic_demo,800,450,796,494,210
SYNTHETIC_A,1,001_03,4,synthetic_demo,800,450,800,542,160
SYNTHETIC_A,1,001_03,5,synthetic_demo,800,450,803,605,140
SYNTHETIC_A,1,001_03,6,synthetic_demo,800,450,761,438,95
SYNTHETIC_A,1,001_03,7,synthetic_demo,800,450,849,446,130
SYNTHETIC_A,1,001_03,8,synthetic_demo,800,450,791,498,175
SYNTHETIC_A,1,001_03,9,synthetic_demo,800,450,806,537,155
SYNTHETIC_A,1,001_03,10,synthetic_demo,800,450,821,394,110
SYNTHETIC_B,2,001_03,1,synthetic_demo,800,450,758,445,135
SYNTHETIC_B,2,001_03,2,synthetic_demo,800,450,852,439,205
SYNTHETIC_B,2,001_03,3,synthetic_demo,800,450,793,490,190
SYNTHETIC_B,2,001_03,4,synthetic_demo,800,450,797,546,225
SYNTHETIC_B,2,001_03,5,synthetic_demo,800,450,801,601,165
SYNTHETIC_B,2,001_03,6,synthetic_demo,800,450,749,448,105
SYNTHETIC_B,2,001_03,7,synthetic_demo,800,450,861,436,145
SYNTHETIC_B,2,001_03,8,synthetic_demo,800,450,799,501,200
SYNTHETIC_B,2,001_03,9,synthetic_demo,800,450,802,539,150
SYNTHETIC_B,2,001_03,10,synthetic_demo,800,450,774,579,125
